,period,year,Index,Annualized,M/M % Ch.
0,1.0,2022,216.6562642,0.0,0.0
1,2.0,2022,218.51266907,0.1078079004062713,0.0085684338592966
2,3.0,2022,222.58474329,0.2480306579842415,0.0186354147671663
3,4.0,2022,223.71830632,0.0628538683397545,0.0050927256434782
4,5.0,2022,226.71111692,0.1728852506322336,0.0133775847369377
5,6.0,2022,230.36639436,0.2115900555438992,0.0161230622020613
6,7.0,2022,230.27167273,-0.004922994737704,-0.0004111781593107
7,8.0,2022,229.80707733,-0.0239442948056506,-0.0020175968432936
